Observed_Yield,Predicted_Yield
0.1,0
0.6,0
62.8,66.1724472
4.6,0
8.9,8.496630669
85.5,87.86328125
86.4,83.28304291
68.2,74.43579865
64.8,68.23885345
87.3,86.91540527
87.6,78.22035217
0.1,0
81,85.33784485
82.6,85.91188812
0.2,0.097990394
84.2,88.34753418
24.9,28.40747833
91.3,98.04747009
0.1,0
43.9,41.0851326
23.7,24.57693672
43.4,43.32849884
17.3,16.13278961
21.1,22.38219643
10.8,15.96358013
0.6,0
3.2,1.948380828
83.3,85.27684021
80.7,85.52080536
94.1,85.97808838
38.9,33.63543701
84.1,87.01691437
92.8,79.12270355
85.8,83.96932983
16.9,16.83142281
11.2,17.31628799
24.4,29.32303429
79.8,84.89933014
26.2,28.99942207
84,86.80275726
28.7,27.8007412
3.6,4.552811146
79.3,86.99528503
83.2,89.85961914
50.3,49.46273804
22.3,21.13740349
84.2,87.45908356
53.1,46.92488861
94.1,92.02511597
84.9,84.9701004
0.1,0
0.2,0
9.2,8.881806374
81.3,85.2285614
14.2,13.75762367
81.7,84.65982819
0.7,0
86.4,88.18114471
32.6,29.66633034
83.8,85.67588043
82.6,88.7403183
1.5,1.815835953
5.9,6.837473869
8.5,7.892015457
13.5,14.14993763
7.6,6.766813278
84.5,86.34910583
82.8,87.28643799
5.6,7.469473839
64.3,65.95554352
28.4,33.84984589
87.2,88.07559204
79.9,86.19734192
0.8,1.028019667
10.5,10.52457047
81.8,84.27870941
75,76.41176605
77.8,82.44527435
35.1,34.08492279
4.3,4.109365463
70.1,78.68174744
0.1,0
85.3,87.72383118
26.3,26.99800491
95,92.32202911
0.6,0
0.6,0
38,35.40608215
25.4,26.91902542
41.9,56.72871017
71.5,78.50250244
0.6,0
80.2,82.35378265
85.9,88.6754303
77.5,73.28743744
85.4,86.85510254
87.9,94.2978363
64.4,73.07519531
15.7,12.90755177
5.4,7.739448071
60.9,67.20703125
20.4,25.07148552
87.4,89.85102081
88.4,90.61470795
85.6,87.3775177
84.5,96.90937042
80.9,85.64286804
74.1,78.40489197
0.2,0
10.3,12.14431477
16.1,15.81647873
91.3,87.92687988
23,22.2079792
12.4,20.446661
68.6,65.78923035
0.1,0
0.2,0
82.7,80.70084381
38.8,38.07324219
24.5,20.86892128
75,74.92943573
89.4,87.51815033
4.3,4.560286522
86.7,91.35337067
24.6,21.91002083
11.5,14.54447079
16.3,21.08882332
75.4,86.06746674
24,22.04380798
88.1,84.51209259
51.7,52.4971199
6.9,1.80132997
84,81.73995209
65.7,64.18438721
78.9,88.65425873
83.3,88.63039398
77.7,81.28518677
0.1,0
4.4,4.699654579
84.4,93.3431778
2.4,0
81.6,83.7963028
89.4,84.1654892
82,87.35533142
1.2,0
74.1,76.05439758
0.2,0
16.9,15.10697937
91.1,83.68219757
43,44.65028381
91.8,83.32457733
23.6,23.79523277
67.3,80.13643646
4.1,0
80.3,85.59466553
83.4,84.17446899
99.5,97.78730011
23.7,25.03238297
78.8,83.49673462
85.6,84.86157227
1,0
0.1,0
87.6,95.6583252
5.5,7.684548855
0.4,0
84.6,91.07041168
68.7,77.3155365
77.9,87.49848938
87.7,91.6842804
83.9,82.78158569
0.1,0
6.9,6.409279823
15.9,15.58848381
34.8,30.50447083
40.1,34.48039246
81.1,84.59836578
10.9,13.92100811
0.1,0
86.6,93.20760345
6.8,16.10902977
75.9,79.91227722
19.9,19.23620605
7.4,6.961398125
0.6,0
0.6,0
0.1,0
78.4,87.63974762
82.9,90.24902344
69.6,75.88036346
33.4,38.89400101
91.8,93.27835846
7.5,8.350634575
83.9,87.85144043
98.7,89.69262695
0.2,0.171380162
83.9,89.86284637
0.1,0
86.3,94.02775574
0.4,0
85.3,81.9677124
0.6,0
41.4,39.75655365
1.5,0
0.2,0
55.1,58.26425171
2.9,0
41.9,33.59566879
83.6,87.83054352
22.1,20.19514465
78.1,81.44483948
90.6,86.93771362
72.6,86.70967102
0.1,0
79.9,84.66484833
30.6,34.03326416
89.6,88.98727417
0.1,0
26,22.0404377
0.2,0
0.1,0
14.2,14.13580799
56.9,52.31627274
8.5,8.668343544
76.6,87.45349121
0.1,0.783082306
82.7,90.23043823
11.8,10.03058815
1.1,0
28.8,26.92938042
90.2,93.63352966
53.8,65.95014191
80.3,87.46414185
82.1,91.03466034
0.6,0.08877039
48.4,51.37548447
5.2,4.237280369
47.6,46.41806793
83.1,83.32457733
39.1,44.51449585
40.4,35.0139122
0.6,0
21.7,25.03546715
83.2,84.38391876
0.6,0
28.1,16.25076294
28,28.26874161
88.9,91.92240143
85,86.23471832
4,0.548259735
88.8,87.08196259
82.5,82.17476654
0.6,0
67,64.99320221
52.9,52.78430939
87,90.41625214
99.8,99.10632324
0.6,0
18.5,17.17173004
5.7,5.449440479
68,81.52003479
86.5,92.02591705
70.9,75.04638672
20.5,25.90016747
24.4,22.83575249
75,86.28777313
0.2,0
68.3,72.81229401
86.5,86.80732727
82.2,87.44881439
89.4,84.70337677
20.1,20.29547691
18.6,16.67040825
20.2,18.63658142
84.7,82.17176819
18.1,19.97555733
62.6,68.91712952
80.1,87.13456726
17.9,20.59616661
90.4,93.59656525
0.6,0
